[2025-03-03 03:06:47,272] INFO [Broker id=0] Leader connect-offsets-13 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,283] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,291] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,300] INFO [Broker id=0] Leader connect-status-3 with topic id Some(JqncmcbNT8WGrMbUXGMutA) starts at leader epoch 0 from offset 8 with partition epoch 0, high watermark 8, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,302] INFO [Broker id=0] Leader connect-offsets-10 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,309] INFO [Broker id=0] Leader chat-0 with topic id Some(cXZe1SFLSoqKNrSL5-zOdg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,314] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,321] INFO [Broker id=0] Leader connect-offsets-7 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,324] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,328] INFO [Broker id=0] Leader connect-status-0 with topic id Some(JqncmcbNT8WGrMbUXGMutA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,339] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,343] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,348] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 5 with partition epoch 0, high watermark 5, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,350] INFO [Broker id=0] Leader connect-offsets-17 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,355] INFO [Broker id=0] Leader connect-offsets-4 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,362] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,379] INFO [Broker id=0] Leader connect-offsets-14 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,385] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,392] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,400] INFO [Broker id=0] Leader connect-offsets-23 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,406] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 66 with partition epoch 0, high watermark 66, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,407] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,413] INFO [Broker id=0] Leader connect-status-4 with topic id Some(JqncmcbNT8WGrMbUXGMutA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,420] INFO [Broker id=0] Leader connect-offsets-11 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,428] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,433] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,439] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,446] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 11 with partition epoch 0, high watermark 11, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,447] INFO [Broker id=0] Leader connect-offsets-20 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,465] INFO [Broker id=0] Leader connect-configs-0 with topic id Some(mFrGn2Y0T9OZLwlqHmD1Vg) starts at leader epoch 0 from offset 24 with partition epoch 0, high watermark 24, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
